id_circuito,nom_circuito,Distrito_id_distrito
-1,MAR TERRITORIAL,-1
000C01,EL PIEDRERO,90D01
01D01C01,CAÃ‘ARIBAMBA,01D01
01D01C02,SAN BLAS,01D01
01D01C03,BELLAVISTA,01D01
01D01C04,VERDE LOMA,01D01
01D01C05,EL VECINO,01D01
01D01C06,BARRIAL BLANCO,01D01
01D01C07,EL SAGRARIO,01D01
01D01C08,HERMANO MIGUEL,01D01
01D01C09,MACHANGARA,01D01
01D01C10,QUINTA CHICA,01D01
01D01C11,TERMINAL TERRESTRE,01D01
01D01C12,TOTORACOCHA,01D01
01D01C13,GIL RAMIREZ DAVALOS,01D01
01D01C14,SAYAUSI,01D01
01D01C15,SAN JOAQUIN,01D01
01D01C16,PACCHA Y NULTI,01D01
01D01C17,RICAURTE,01D01
01D01C18,CHECA,01D01
01D01C19,OCTAVIO CORDERO,01D01
01D01C20,SININCAY,01D01
01D02C01,YANUNCAY,01D02
01D02C02,EL SALADO,01D02
01D02C03,NARANCAY,01D02
01D02C04,SUCRE,01D02
01D02C05,MONAY,01D02
01D02C06,HUAYNA CAPAC,01D02
01D02C07,EL BATAN,01D02
01D02C08,SAN SEBASTIAN,01D02
01D02C09,CAYAMBE,01D02
01D02C10,MOLLETURO,01D02
01D02C12,BAÃ‘OS,01D02
01D02C13,TARQUI,01D02
01D02C14,TURI,01D02
01D02C15,CUMBE,01D02
01D02C16,QUINGEO,01D02
01D02C17,SANTA ANA,01D02
01D02C18,EL VALLE,01D02
01D02C19,COCHAPAMBA,01D02
01D03C01,GIRON,01D03
01D03C02,SAN RAFAEL SHARUG,01D03
01D03C03,PUCARA,01D03
01D03C04,CERRO NEGRO,01D03
01D03C05,SAN FERNANDO,01D03
01D03C06,LA UNION,01D03
01D04C01,SAN JUAN,01D04
01D04C02,JADAN,01D04
01D04C03,ZHIMAD,01D04
01D04C04,GUALACEO,01D04
01D04C05,GUALACEO SUR,01D04
01D04C06,REMIGIO CRESPO,01D04
01D04C07,CHORDELEG,01D04
01D05C01,NABON,01D05
01D05C02,LAS NIEVES,01D05
01D05C03,OÃ‘A,01D05
01D06C01,DUG DUG,01D06
01D06C02,PAUTE,01D06
01D06C03,EL PAN,01D06
01D06C04,AMALUZA,01D06
01D06C05,SEVILLA DE ORO,01D06
01D06C06,GUACHAPALA,01D06
01D07C01,SHUMIRAL,01D07
01D07C02,CAMILO PONCE ENRIQUEZ,01D07
01D07C03,CARMEN DE PIJILI,01D07
01D08C01,SIG SIG,01D08
01D08C02,JIMA,01D08
01D08C03,LUDO,01D08
02D01C01,GUARANDA SUR,02D01
02D01C02,15 DE MAYO,02D01
02D01C03,GUANUJO,02D01
02D01C04,1 DE MAYO,02D01
02D01C05,QUINDIGUA BAJO,02D01
02D01C06,PALMA LOMA,02D01
02D01C07,SIMIATUG,02D01
02D01C08,FACUNDO VELA,02D01
02D01C09,SALINAS,02D01
02D01C10,SAN LUIS,02D01
02D01C11,SAN LORENZO,02D01
02D02C01,SAN JOSE DEL TAMBO,02D02
02D02C02,CHILLANES,02D02
02D03C01,TELIMBELA,02D03
02D03C02,MAGDALENA,02D03
02D03C03,CHIMBO,02D03
02D03C04,SAN MIGUEL,02D03
02D03C05,SAN PABLO,02D03
02D03C06,SANTIAGO,02D03
02D03C07,BALSAPAMBA,02D03
02D04C01,ECHEANDIA,02D04
02D04C02,CALUMA,02D04
02D04C03,LAS NAVES,02D04
03D01C01,AZOGUES ORIENTE,03D01
03D01C02,AZOGUES NORTE,03D01
03D01C03,UCHUPUCUM,03D01
03D01C04,AZOGUES SUR,03D01
03D01C05,GUAPAN,03D01
03D01C06,AZOGUES OESTE,03D01
03D01C07,SAN MIGUEL,03D01
03D01C08,LUIS CORDERO,03D01
03D01C09,BIBLIAN,03D01
03D01C10,JERUSALEN,03D01
03D01C11,NAZON,03D01
03D01C12,DELEG,03D01
03D02C01,CAÃ‘AR,03D02
03D02C02,CAÃ‘AR OCCIDENTE,03D02
03D02C03,GUALLETURO,03D02
03D02C04,INGAPIRCA,03D02
03D02C05,ZHUD,03D02
