id_nacionalidad,nombre_nacionalidad
1,ECUATORIANO
2,COLOMBIANO
3,VENEZOLANO
4,PERUANO
5,CHINO
6,ECUATOGUINEANO
7,GUATEMALTECO
8,CUBANO
9,CROATA
10,BOLIVIANO
11,DOMINICANO
12,ALBANO
13,SERBIO
14,GEORGIANO
15,CHILENO
16,ITALIANO
17,ARGENTINO
18,MEXICANO
19,HAITIANO
20,URUGUAYO
21,GRIEGO
22,NIGERIANO
23,CANADIENSE
24,AUSTRALIANO
25,RUSO
26,RUMANO
27,PALAUANO
28,ESTONIO
29,VANUATUENSE
30,MACEDONIO
31,CABOVERDIANO
32,SUDAFRICANO
33,PARAGUAYO
34,LETONIO
35,TURCO
36,UCRANIANO
37,NICARAGUENSE
38,SUECO
39,LITUANO
40,INDIO
41,SIRIO
42,PALESTINO
43,VIETNAMITA
44,BELGA
45,SUIZO
46,COSTARRICENSE
47,ARGELINO
48,ESTADOUNIDENSE
49,LIBANES
50,ARMENIO
51,JORDANO
52,BARBADENSE
53,YUGOSLAVO
54,AFRICANO
55,COREANO
56,FILIPINO
57,GUINEANO
58,COMORENSE
59,MALAYO
60,SINGAPURENSE
61,SURCOREANO
62,NIGERINO
63,SALOMONENSE
64,EGIPCIO
65,UZBECO
66,CHADIANO
67,MOLDAVO
68,CAMBOYANO
69,NORUEGO
70,LIBIO
71,SIN DATO
