id_parroquia,nom_parroquia,Canton_id_canton
10101,BELLAVISTA,101
10102,CANARIBAMBA,101
10103,EL BATAN,101
10104,EL SAGRARIO,101
10105,EL VECINO,101
10106,GIL RAMIREZ DAVALOS,101
10107,HUAYNACAPAC,101
10108,MACHANGARA,101
10109,MONAY,101
10110,SAN BLAS,101
10111,SAN SEBASTIAN,101
10112,SUCRE,101
10113,TOTORACOCHA,101
10114,YANUNCAY,101
10115,HERMANO MIGUEL,101
10150,CUENCA,101
10151,BANOS,101
10152,CUMBE,101
10153,CHAUCHA,101
10154,CHECA (JIDCAY),101
10155,CHIQUINTAD,101
10156,LLACAO,101
10157,MOLLETURO,101
10158,NULTI,101
10159,OCTAVIO CORDERO PALACIOS STA. ROSA,101
10160,PACCHA,101
10161,QUINGEO,101
10162,RICAURTE,101
10163,SAN JOAQUIN,101
10164,SANTA ANA,101
10165,SAYAUSI,101
10166,SIDCAY,101
10167,SININCAY,101
10168,TARQUI,101
10169,TURI,101
10170,VALLE,101
10171,VICTORIA DEL PORTETE (IRQUIS),101
10250,GIRON,102
10251,ASUNCION,102
10252,SAN GERARDO,102
10350,GUALACEO,103
10352,DANIEL CORDOVA TORAL (EL ORIENTE),103
10353,JADAN,103
10354,MARIANO MORENO,103
10356,REMIGIO CRESPO TORAL (GULAG),103
10357,SAN JUAN,103
10358,ZHIDMAD,103
10359,LUIS CORDERO VEGA,103
10360,SIMON BOLIVAR (CAB. EN GAÐANZOL),103
10450,NABON,104
10451,COCHAPATA,104
10452,EL PROGRESO (CAB. EN ZHOTA),104
10453,LAS NIEVES (CHAYA),104
10550,PAUTE,105
10552,BULAN (JOSE VICTOR IZQUIERDO),105
10553,CHICAN (GUILLERMO ORTEGA),105
10554,EL CABO,105
10556,GUARAINAG,105
10559,SAN CRISTOBAL (CARLOS ORDOÐEZ LAZO),105
10561,TOMEBAMBA,105
10562,DUG DUG,105
10650,PUCARA,106
10652,SAN RAFAEL DE SHARUG,106
10750,SAN FERNANDO,107
10751,CHUMBLIN,107
10850,SANTA ISABEL (CHAGUARURCO),108
10851,ABDON CALDERON (LA UNION),108
10852,EL CARMEN DE PIJILI,108
10853,ZHAGLLI (SHAGLLI ),108
10854,SAN SALVADOR DE CANARIBAMBA,108
10950,SIGSIG,109
10951,CUCHIL (CUTCHIL),109
10952,GIMA,109
10953,GUEL,109
10954,LUDO,109
10955,SAN BARTOLOME,109
10956,SAN JOSE DE RARANGA,109
11050,SAN FELIPE DE ONA,110
11051,SUSUDEL,110
11150,CHORDELEG,111
11151,PRINCIPAL,111
11152,LA UNION,111
11153,LUIS GALARZA ORELLANA CAB. EN DELEG,111
11154,SAN MARTIN DE PUZHIO,111
11250,EL PAN,112
11253,SAN VICENTE,112
11350,SEVILLA DE ORO,113
11351,AMALUZA,113
11352,PALMAS,113
11450,GUACHAPALA,114
11550,CAMILO PONCE ENRIQUEZ,115
20101,ANGEL POLIBIO CHAVES,201
20102,GABRIEL IGNACIO VEINTIMILLA,201
20103,GUANUJO,201
20150,GUARANDA,201
20151,FACUNDO VELA,201
20153,JULIO MORENO (CATANAHUAN GRANDE),201
20155,SALINAS,201
20156,SAN LORENZO,201
20157,SAN SIMON (YACOTO),201
20158,SANTA FE (SANTA FE),201
20159,SIMIATUG,201
20160,SAN LUIS DE PAMBIL,201
20250,CHILLANES,202
20251,SAN JOSE DEL TAMBO (TAMBOPAMBA),202
20350,SAN JOSE DE CHIMBO,203
20351,ASUNCION (ASANCOTO),203
20353,MAGDALENA (CHAPACOTO),203
20354,SAN SEBASTIAN,203
20355,TELIMBELA,203
20450,ECHEANDIA,204
20550,SAN MIGUEL,205
20551,BALSAPAMBA,205
20552,BILOVAN,205
20553,REGULO DE MORA,205
20554,SAN PABLO (SAN PABLO DE ATENAS),205
20555,SANTIAGO,205
20556,SAN VICENTE,205
20650,CALUMA,206
20701,LAS MERCEDES,207
20702,LAS NAVES,207
20750,LAS NAVES,207
30101,AURELIO BAYAS MARTINEZ,301
30102,AZOGUES,301
30103,BORRERO,301
30104,SAN FRANCISCO,301
30150,AZOGUES,301
30151,COJITAMBO,301
30153,GUAPAN,301
30154,JAVIER LOYOLA (CHUQUIPATA),301
30155,LUIS CORDERO,301
30156,PINDILIG,301
30157,RIVERA,301
30158,SAN MIGUEL,301
30160,TADAY,301
30250,BIBLIAN,302
30251,NAZON (CAB. EN PAMPA DE DOMINGUEZ),302
30252,SAN FRANCISCO DE SAGEO,302
30253,TURUPAMBA,302
30254,JERUSALEN,302
30350,CANAR,303
30351,CHONTAMARCA,303
30352,CHOROCOPTE,303
30353,GENERAL MORALES (SOCARTE),303
30354,GUALLETURO,303
30355,HONORATO VASQUEZ (TAMBO VIEJO),303
30356,INGAPIRCA,303
30357,JUNCAL,303
30358,SAN ANTONIO,303
30361,ZHUD,303
30362,VENTURA,303
30363,DUCUR,303
30450,LA TRONCAL,304
30451,MANUEL J. CALLE,304
30452,PANCHO NEGRO,304
30550,EL TAMBO,305
30650,DELEG,306
30651,SOLANO,306
30750,SUSCAL,307
40101,GONZALEZ SUAREZ,401
40102,TULCAN,401
40150,TULCAN,401
40151,EL CARMELO (EL PUN),401
40153,JULIO ANDRADE (OREJUELA),401
40154,MALDONADO,401
40155,PIOTER,401
40156,TOBAR DONOSO LA BOCANA DE CAMUM,401
40157,TUFIÐO,401
40158,URBINA (TAYA),401
40159,EL CHICAL,401
40161,SANTA MARTHA DE CUBA,401
40250,BOLIVAR,402
40251,GARCIA MORENO,402
40252,LOS ANDES,402
40253,MONTE OLIVO,402
40254,SAN VICENTE DE PUSIR,402
40255,SAN RAFAEL,402
40301,EL ANGEL,403
40302,27 DE SEPTIEMBRE,403
40350,EL ANGEL,403
40351,EL GOALTAL,403
40352,LA LIBERTAD (ALIZO),403
40353,SAN ISIDRO,403
40450,MIRA (CHONTAHUASI),404
40451,CONCEPCION,404
40452,JIJON Y CAAMAÐO (CAB. EN RIO BLANCO),404
40453,JUAN MONTALVO (SAN IGNACIO DE QUIL),404
40501,GONZALEZ SUAREZ,405
40502,SAN JOSE,405
40550,SAN GABRIEL,405
40551,CRISTOBAL COLON,405
40552,CHITAN DE NAVARRETE,405
40553,FERNANDEZ SALVADOR,405
40554,LA PAZ,405
40555,PIARTAL,405
40650,HUACA,406
40651,MARISCAL SUCRE,406
50101,ELOY ALFARO  (SAN FELIPE),501
50102,IGNACIO FLORES (PARQUE FLORES),501
50103,JUAN MONTALVO (SAN SEBASTIAN),501
50104,LA MATRIZ,501
50105,SAN BUENAVENTURA,501
50150,LATACUNGA,501
50151,ALAQUES (ALAQUEZ),501
50152,BELISARIO QUEVEDO (GUANAILIN),501
50153,GUAITACAMA (GUAYTACAMA),501
50154,JOSEGUANGO BAJO,501
50156,MULALO,501
50157,11 DE NOVIEMBRE (ILINCHISI),501
50158,POALO,501
50159,SAN JUAN DE PASTOCALLE,501
50161,TANICUCHI,501
50162,TOACASO,501
50201,EL CARMEN,502
50202,LA MANA,502
50203,EL TRIUNFO,502
50250,LA MANA,502
50251,GUASAGANDA CAB. EN GUASAGANDA CE,502
50252,PUCAYACU,502
50350,EL CORAZON,503
50351,MORASPUNGO,503
50352,PINLLOPATA,503
50353,RAMON CAMPAÐA,503
50450,PUJILI,504
50451,ANGAMARCA,504
50453,GUANGAJE,504
50455,LA VICTORIA,504
50456,PILALO,504
50457,TINGO,504
50458,ZUMBAHUA,504
50550,SAN MIGUEL,505
50551,ANTONIO JOSE HOLGUIN (SANTA LUCIA),505
50552,CUSUBAMBA,505
50553,MULALILLO,505
50554,MULLIQUINDIL (SANTA ANA),505
50555,PANSALEO,505
50650,SAQUISILI,506
50651,CANCHAGUA,506
50652,CHANTILIN,506
50653,COCHAPAMBA,506
50750,SIGCHOS,507
50751,CHUGCHILLAN,507
50752,ISINLIVI,507
50753,LAS PAMPAS,507
50754,PALO QUEMADO,507
60101,LIZARZABURU,601
60102,MALDONADO,601
60103,VELASCO,601
60104,VELOZ,601
60105,YARUQUIES,601
60150,RIOBAMBA,601
60151,CACHA (CAB. EN MACHANGARA),601
60152,CALPI,601
60153,CUBIJIES,601
60154,FLORES,601
60155,LICAN,601
60156,LICTO,601
60157,PUNGALA,601
60158,PUNIN,601
60159,QUIMIAG,601
60160,SAN JUAN,601
60161,SAN LUIS,601
60250,ALAUSI,602
60251,ACHUPALLAS,602
60253,GUASUNTOS,602
60254,HUIGRA,602
60255,MULTITUD,602
60256,PISTISHI (NARIZ DEL DIABLO),602
60257,PUMALLACTA,602
60258,SEVILLA,602
60259,SIBAMBE,602
60260,TIXAN,602
60301,CAJABAMBA,603
60302,SICALPA,603
60350,VILLA LA UNION (CAJABAMBA),603
60351,CANI,603
60352,COLUMBE,603
60353,JUAN DE VELASCO (PANGOR),603
60354,SANTIAGO DE QUITO CAB. EN SAN ANTO,603
60450,CHAMBO,604
60550,CHUNCHI,605
60551,CAPZOL,605
60552,COMPUD,605
60553,GONZOL,605
60554,LLAGOS,605
60650,GUAMOTE,606
60651,CEBADAS,606
60652,PALMIRA,606
60701,EL ROSARIO,607
60702,LA MATRIZ,607
60750,GUANO,607
60751,GUANANDO,607
60752,ILAPO,607
60753,LA PROVIDENCIA,607
60754,SAN ANDRES,607
60755,SAN GERARDO DE PACAICAGUAN,607
60756,SAN ISIDRO DE PATULU,607
60757,SAN JOSE DEL CHAZO,607
60758,SANTA FE DE GALAN,607
60759,VALPARAISO,607
60850,PALLATANGA,608
60950,PENIPE,609
60951,EL ALTAR,609
60952,MATUS,609
60953,PUELA,609
60954,SAN ANTONIO DE BAYUSHIG,609
60955,LA CANDELARIA,609
60956,BILBAO (CAB. EN QUILLUYACU),609
61050,CUMANDA,610
