id_provincia,nom_provincia,media_tasa_educacionbasica_poblacion,media_tasa_educacionbachillerato_poblacion,media_tasa_empleo_inadecuado,media_tasa_pobreza_extrema,media_indice_dh,media_tasa_narcotrafico,zona_id_zona
1,AZUAY,91.6,79.5,39.3,7.5,0.801,726.11,6
2,BOLIVAR,94.1,81.9,51,10.2,0.712333,90.13,5
3,CANAR,92.9,78.4,57,15.2,0.735333,16178.5,1
4,CARCHI,93.1,77.1,48.3,6.9,0.736667,87.61,6
5,COTOPAXI,93.7,82,52.1,19.7,0.725667,261.6,3
6,CHIMBORAZO,93.8,81.3,46.8,10.7,0.776333,153.88,3
7,EL ORO,91,78.8,50,4.2,0.797333,3339.13,7
8,ESMERALDAS,91,73.8,51.1,24.6,0.771,15334.8,1
9,GUAYAS,95.2,88.4,31,0.2,0.832,83.48,5
10,IMBABURA,88.4,75.9,49.25,4.1,0.789333,13001.5,5
11,LOJA,94.2,81.4,57.2,12.1,0.744333,4770.33,1
12,LOS RIOS,94.5,80.8,45,10.1,0.813,1232.27,7
13,MANABI,89.8,75.2,56.9,6.1,0.751333,3201.79,5
14,MORONA SANTIAGO,93,81.3,59.8,7.87,0.778667,4129.18,4
15,NAPO,93.6,73.5,51.8,31.2,0.769667,452.35,6
16,PASTAZA,94.1,80.2,57.57,38.31,0.775333,1978.55,2
17,PICHINCHA,94,76.1,31.9,31.9,0.752333,423.34,2
18,TUNGURAHUA,94.6,79.4,40.35,40.31,0.774,1132.33,3
19,ZAMORA CHINCHIPE,91.4,81.8,37.7,4.32,0.850333,10640.7,2
20,GALAPAGOS,94.2,80.7,62,8.3,0.741,298.39,5
21,SUCUMBIOS,89.4,77.1,55.9,4.28,0.742667,2823.25,4
22,ORELLANA,93.1,78.3,47.4,21.7,0.759333,1728.99,1
23,SANTO DOMINGO,93.7,81.6,49.3,8.7,0.780333,1516.17,3
24,SANTA ELENA,93.5,77.5,50.25,18,0.742667,80.82,7
25,DMG,-1,-1,-1,-1,-1,-1,8
26,DMQ,-1,-1,-1,-1,-1,-1,9
90,NO DELIMITADA,-1,-1,-1,-1,-1,-1,-1
