id_subcircuito,nom_subcircuito,Circuito_id_circuito
-1,SIN DATO,-1
0,MAR TERRITORIAL,-1
000C01S01,EL PIEDRERO 1,000C01
01D01C01S01,CAÃ‘ARIBAMBA 1,01D01C01
01D01C02S01,SAN BLAS 1,01D01C02
01D01C03S01,BELLAVISTA 1,01D01C03
01D01C04S01,VERDE LOMA 1,01D01C04
01D01C05S01,EL VECINO 1,01D01C05
01D01C05S02,EL VECINO 2,01D01C05
01D01C06S01,BARRIAL BLANCO 1,01D01C06
01D01C07S01,EL SAGRARIO 1,01D01C07
01D01C08S01,HERMANO MIGUEL 1,01D01C08
01D01C08S02,HERMANO MIGUEL 2,01D01C08
01D01C09S01,MACHANGARA 1,01D01C09
01D01C10S01,QUINTA CHICA 1,01D01C10
01D01C11S01,TERMINAL TERRESTRE 1,01D01C11
01D01C12S01,TOTORACOCHA 1,01D01C12
01D01C13S01,GIL RAMIREZ DAVALOS 1,01D01C13
01D01C14S01,SAYAUSI 1,01D01C14
01D01C15S01,SAN JOAQUIN 1,01D01C15
01D01C16S01,PACCHA Y NULTI 1,01D01C16
01D01C17S01,RICAURTE 1,01D01C17
01D01C17S02,RICAURTE 2,01D01C17
01D01C18S01,CHECA 1,01D01C18
01D01C19S01,OCTAVIO CORDERO 1,01D01C19
01D01C20S01,SININCAY 1,01D01C20
01D02C01S01,YANUNCAY 1,01D02C01
01D02C02S01,EL SALADO 1,01D02C02
01D02C03S01,NARANCAY 1,01D02C03
01D02C04S01,SUCRE 1,01D02C04
01D02C05S01,MONAY 1,01D02C05
01D02C06S01,HUAYNA CAPAC 1,01D02C06
01D02C07S01,EL BATAN 1,01D02C07
01D02C08S01,SAN SEBASTIAN 1,01D02C08
01D02C09S01,CAYAMBE 1,01D02C09
01D02C09S02,CAYAMBE 2,01D02C09
01D02C09S03,CAYAMBE 3,01D02C09
01D02C10S01,MOLLETURO 1,01D02C10
01D02C12S01,BAÃ‘OS 1,01D02C12
01D02C13S01,TARQUI 1,01D02C13
01D02C14S01,TURI 1,01D02C14
01D02C15S01,CUMBE 1,01D02C15
01D02C16S01,QUINGEO 1,01D02C16
01D02C17S01,SANTA ANA 1,01D02C17
01D02C18S01,EL VALLE 1,01D02C18
01D02C19S01,COCHAPAMBA 1,01D02C19
01D03C01S01,GIRON 1,01D03C01
01D03C01S02,GIRON 2,01D03C01
01D03C02S01,SAN RAFAEL SHARUG 1,01D03C02
01D03C03S01,PUCARA 1,01D03C03
01D03C04S01,CERRO NEGRO 1,01D03C04
01D03C05S01,SAN FERNANDO 1,01D03C05
