id_arma,arma,tipo_arma_id_tipo_arma
1,SIN DATO,1
2,NINGUNA,1
3,PISTOLA,2
4,CUCHILLOS,3
5,REVOLVER,2
6,MACHETES,3
7,OTROS,3
8,CARTUCHERA,3
9,ARTESANAL,3
10,FUSIL,2
11,SUBAMETRALLADORA,2
12,RIFLE,2
13,PISTOLAS,2
14,OTRAS ARMAS CORTAS,3
15,DESTORNILLADORES,3
16,NAVAJAS,3
17,CARTUCHERAS,3
18,BOTELLA ROTA,3
19,FUSILES,2
20,TIJERAS,3
21,CARABINA,3
22,ESTILETE,3
23,RIFLES,2
24,PUNALES,3
25,HACHAS,3
26,DAGA,3
27,AMETRALLADORA,2
28,ESPADAS,3
29,PICA HIELO,3
30,BISTURIES,3
31,HOJAS DE AFEITAR,3
32,LANZA,3
